,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
count,14177.0,14177.0,14177.0,14177.0,14178.0,14178.0,14178.0,14178.0,14178.0,14178.0
mean,0.0878182972420117,0.05918036255907456,0.07462791845947661,0.10390068420681385,0.04859641698405981,0.23430667230921146,0.1630695443645084,0.08386232190718014,0.03766398645789251,0.086754126110876
std,0.28304044719264554,0.2359702838790162,0.26279928417061243,0.30514242550358206,0.21503038505033387,0.42357963881358773,0.36944213995599556,0.2771910030515387,0.1903889892213449,0.2814843444869719
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
