,word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
180,adipose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,adjacency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,adjacent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,adjective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,adjoining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,adjourn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,adjournment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,adjudicate,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
188,adjudication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,adjunct,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
190,adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,adjuvant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,administer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,administrative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,admirable,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
197,admiral,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
198,admiralty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,admiration,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
200,admire,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
201,admirer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,admissibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,admissible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
204,admission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,admit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,admittance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,admitted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,admitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,admixture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,admonition,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
211,ado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,adobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,adolescence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,adolescent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,adopt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,adorable,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
218,adoration,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
219,adore,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
220,adorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,adornment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,adrift,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
223,adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,adulterated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,adultery,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
226,advance,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
227,advanced,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
228,advancement,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
229,advancing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,advantage,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
231,advantageous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
232,advent,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
233,adventure,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
234,adventurer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,adventurous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
236,adversary,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
237,adverse,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
238,adversity,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
239,advertise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,advice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
242,advisable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
243,advise,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
244,advised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,advisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,adviser,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
247,advocacy,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
248,advocate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
249,aegis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,aeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,aerial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,aerodrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,aerodynamics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,aeronautics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,aesthetic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
257,aesthetics,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
258,aetiology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,afar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,affable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
261,affair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,affecting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,affection,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
264,affections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,affiche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,affidavit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,affiliated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
268,affiliation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,affinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,affirm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
271,affirmation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
272,affirmative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
273,affirmatively,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
274,affix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,afflict,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
276,afflicted,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
277,affliction,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
278,affluence,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
279,affluent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
280,afford,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
281,affront,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
282,afield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,afore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,aforementioned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,aforesaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,afraid,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
287,afresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,aft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,aftermath,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
290,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,aftertaste,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
292,afterthought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,aga,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
294,agate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,aged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,agglomeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
