,0
799,15
800,18
801,15
802,15
803,18
804,15
805,20
806,20
807,15
808,16
809,21
810,24
811,15
812,28
813,23
814,29
815,19
816,14
817,26
818,26
819,20
820,20
821,4
822,14
823,12
824,25
825,15
826,22
827,2
828,15
829,24
830,13
831,15
832,20
833,19
834,24
835,24
836,29
837,24
838,4
839,21
840,18
841,19
842,26
843,15
844,15
845,15
846,24
847,15
848,18
849,15
850,18
851,15
852,21
853,20
854,15
855,24
856,23
857,15
858,8
859,21
860,23
861,20
862,12
863,21
864,20
865,10
866,22
867,22
868,25
869,24
870,19
871,6
872,24
873,21
874,24
875,27
876,25
877,29
878,29
879,29
880,14
881,15
882,12
883,26
884,15
885,16
886,20
887,15
888,22
889,0
890,19
891,25
892,24
893,1
894,20
895,10
896,12
897,8
898,6
899,8
900,24
901,22
902,18
903,6
904,14
905,6
906,23
907,15
908,23
909,25
910,21
911,6
912,3
913,19
914,15
915,28
916,27
917,8
918,6
919,24
920,8
921,6
922,4
923,25
924,18
925,15
926,15
927,15
928,24
929,24
930,20
931,15
932,15
933,8
934,16
935,5
936,8
937,19
938,20
939,24
940,29
941,24
942,10
943,24
944,29
945,23
946,25
947,15
948,4
949,24
950,24
951,15
952,21
953,6
954,9
955,15
956,28
957,22
958,6
959,24
960,24
961,15
962,28
963,24
964,22
965,24
966,15
967,18
968,24
969,8
970,8
971,15
972,22
973,20
974,4
975,24
976,17
977,17
978,19
979,24
980,15
981,19
982,23
983,24
984,8
985,2
986,21
987,6
988,28
989,20
990,24
991,21
992,4
993,20
994,15
995,22
996,3
997,15
998,22
999,2
1000,22
1001,22
1002,19
1003,24
1004,15
1005,8
1006,8
1007,18
1008,28
1009,10
1010,2
1011,21
1012,8
1013,16
1014,24
1015,23
1016,8
1017,11
1018,15
1019,24
1020,21
1021,17
1022,24
1023,17
1024,24
1025,8
1026,28
1027,19
1028,26
1029,8
1030,24
1031,6
1032,20
1033,8
1034,8
1035,28
1036,8
1037,20
1038,24
1039,15
1040,21
1041,24
1042,8
1043,15
1044,4
1045,12
1046,20
1047,24
1048,19
1049,27
1050,21
1051,13
1052,8
1053,18
1054,21
1055,23
1056,6
1057,24
1058,24
1059,24
1060,13
1061,0
1062,8
1063,12
1064,19
1065,26
1066,16
1067,13
1068,20
1069,24
1070,22
1071,24
1072,8
1073,21
1074,24
1075,18
1076,16
1077,7
1078,8
1079,28
1080,14
1081,20
1082,17
1083,20
1084,21
1085,13
1086,29
1087,23
1088,13
1089,22
1090,21
1091,15
1092,22
1093,21
1094,17
1095,15
1096,7
1097,21
1098,21
1099,24
1100,20
1101,26
1102,20
1103,19
1104,20
1105,23
1106,19
1107,16
1108,17
1109,24
1110,14
1111,24
1112,24
1113,24
1114,22
1115,24
1116,24
1117,15
1118,29
1119,17
1120,22
1121,24
1122,24
1123,28
1124,24
1125,8
1126,27
1127,24
1128,22
1129,24
1130,10
1131,18
1132,8
1133,15
1134,14
1135,23
1136,18
1137,24
1138,19
1139,6
1140,22
1141,24
1142,21
1143,24
1144,16
1145,11
1146,16
1147,21
1148,20
1149,20
1150,14
1151,20
1152,17
1153,10
1154,15
1155,17
1156,4
1157,19
1158,8
1159,21
1160,24
1161,15
1162,20
1163,8
1164,6
1165,8
1166,19
1167,21
1168,14
1169,21
1170,20
1171,19
1172,14
1173,19
1174,17
1175,33
1176,19
1177,22
1178,17
1179,19
1180,22
1181,18
1182,20
1183,28
1184,15
1185,24
1186,24
1187,15
1188,22
1189,8
1190,17
1191,21
1192,14
1193,6
1194,28
1195,21
1196,22
1197,6
1198,19
1199,23
1200,21
1201,13
1202,3
1203,1
1204,23
1205,18
1206,24
1207,15
1208,8
1209,20
1210,9
1211,22
1212,10
1213,21
1214,16
1215,24
1216,17
1217,16
1218,24
1219,24
1220,15
1221,14
1222,8
1223,23
1224,3
1225,22
1226,23
1227,20
1228,29
1229,15
1230,16
1231,13
1232,23
1233,24
1234,29
1235,2
1236,29
1237,24
1238,29
1239,12
1240,3
1241,29
1242,15
1243,18
1244,24
1245,29
1246,1
1247,24
1248,19
1249,16
1250,10
1251,24
1252,12
1253,18
1254,13
1255,8
1256,14
1257,18
1258,18
1259,19
1260,20
1261,24
1262,15
1263,19
1264,15
1265,24
1266,8
1267,18
1268,15
1269,24
1270,18
1271,15
1272,21
1273,16
1274,15
1275,20
1276,3
1277,19
1278,20
1279,31
1280,17
1281,20
1282,17
1283,8
1284,20
1285,15
1286,29
1287,29
1288,22
1289,5
1290,4
1291,22
1292,24
1293,21
1294,28
1295,20
1296,24
1297,15
1298,22
1299,8
1300,22
1301,19
1302,22
1303,22
1304,1
1305,24
1306,23
1307,26
1308,5
1309,20
1310,1
1311,5
1312,1
1313,14
1314,30
1315,12
1316,32
1317,28
1318,22
1319,21
1320,20
1321,29
1322,29
1323,1
1324,29
1325,15
1326,1
1327,24
1328,15
1329,24
1330,24
1331,15
1332,22
1333,15
1334,8
1335,15
1336,29
1337,25
1338,15
1339,24
1340,21
1341,29
1342,15
1343,24
1344,2
1345,21
1346,24
1347,18
1348,20
1349,18
1350,14
1351,11
1352,26
1353,24
1354,30
1355,24
1356,24
1357,18
1358,23
1359,12
1360,20
1361,24
1362,24
1363,24
1364,23
1365,22
1366,18
1367,29
1368,24
1369,24
1370,18
1371,12
1372,16
1373,24
1374,24
1375,24
1376,18
1377,24
1378,29
1379,23
1380,24
1381,8
1382,20
1383,17
1384,16
1385,19
